sentid	sentence
deceitful.technician.customer.1.male.txt	The technician told the deceitful customer that he could pay with cash.
deceitful.technician.customer.1.female.txt	The technician told the deceitful customer that she could pay with cash.
deceitful.technician.customer.1.neutral.txt	The technician told the deceitful customer that they could pay with cash.
deceitful.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
deceitful.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
deceitful.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
devious.technician.customer.1.male.txt	The technician told the devious customer that he could pay with cash.
devious.technician.customer.1.female.txt	The technician told the devious customer that she could pay with cash.
devious.technician.customer.1.neutral.txt	The technician told the devious customer that they could pay with cash.
devious.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
devious.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
devious.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
dirty.technician.customer.1.male.txt	The technician told the dirty customer that he could pay with cash.
dirty.technician.customer.1.female.txt	The technician told the dirty customer that she could pay with cash.
dirty.technician.customer.1.neutral.txt	The technician told the dirty customer that they could pay with cash.
dirty.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
dirty.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
dirty.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
dumb.technician.customer.1.male.txt	The technician told the dumb customer that he could pay with cash.
dumb.technician.customer.1.female.txt	The technician told the dumb customer that she could pay with cash.
dumb.technician.customer.1.neutral.txt	The technician told the dumb customer that they could pay with cash.
dumb.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
dumb.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
dumb.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
evil.technician.customer.1.male.txt	The technician told the evil customer that he could pay with cash.
evil.technician.customer.1.female.txt	The technician told the evil customer that she could pay with cash.
evil.technician.customer.1.neutral.txt	The technician told the evil customer that they could pay with cash.
evil.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
evil.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
evil.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
generous.technician.customer.1.male.txt	The technician told the generous customer that he could pay with cash.
generous.technician.customer.1.female.txt	The technician told the generous customer that she could pay with cash.
generous.technician.customer.1.neutral.txt	The technician told the generous customer that they could pay with cash.
generous.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
generous.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
generous.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
gentle.technician.customer.1.male.txt	The technician told the gentle customer that he could pay with cash.
gentle.technician.customer.1.female.txt	The technician told the gentle customer that she could pay with cash.
gentle.technician.customer.1.neutral.txt	The technician told the gentle customer that they could pay with cash.
gentle.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
gentle.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
gentle.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
greedy.technician.customer.1.male.txt	The technician told the greedy customer that he could pay with cash.
greedy.technician.customer.1.female.txt	The technician told the greedy customer that she could pay with cash.
greedy.technician.customer.1.neutral.txt	The technician told the greedy customer that they could pay with cash.
greedy.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
greedy.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
greedy.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
hateful.technician.customer.1.male.txt	The technician told the hateful customer that he could pay with cash.
hateful.technician.customer.1.female.txt	The technician told the hateful customer that she could pay with cash.
hateful.technician.customer.1.neutral.txt	The technician told the hateful customer that they could pay with cash.
hateful.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
hateful.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
hateful.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
honest.technician.customer.1.male.txt	The technician told the honest customer that he could pay with cash.
honest.technician.customer.1.female.txt	The technician told the honest customer that she could pay with cash.
honest.technician.customer.1.neutral.txt	The technician told the honest customer that they could pay with cash.
honest.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
honest.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
honest.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
humorless.technician.customer.1.male.txt	The technician told the humorless customer that he could pay with cash.
humorless.technician.customer.1.female.txt	The technician told the humorless customer that she could pay with cash.
humorless.technician.customer.1.neutral.txt	The technician told the humorless customer that they could pay with cash.
humorless.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
humorless.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
humorless.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
ignorant.technician.customer.1.male.txt	The technician told the ignorant customer that he could pay with cash.
ignorant.technician.customer.1.female.txt	The technician told the ignorant customer that she could pay with cash.
ignorant.technician.customer.1.neutral.txt	The technician told the ignorant customer that they could pay with cash.
ignorant.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
ignorant.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
ignorant.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
ingelligent.technician.customer.1.male.txt	The technician told the ingelligent customer that he could pay with cash.
ingelligent.technician.customer.1.female.txt	The technician told the ingelligent customer that she could pay with cash.
ingelligent.technician.customer.1.neutral.txt	The technician told the ingelligent customer that they could pay with cash.
ingelligent.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
ingelligent.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
ingelligent.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
intolerant.technician.customer.1.male.txt	The technician told the intolerant customer that he could pay with cash.
intolerant.technician.customer.1.female.txt	The technician told the intolerant customer that she could pay with cash.
intolerant.technician.customer.1.neutral.txt	The technician told the intolerant customer that they could pay with cash.
intolerant.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
intolerant.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
intolerant.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
neat.technician.customer.1.male.txt	The technician told the neat customer that he could pay with cash.
neat.technician.customer.1.female.txt	The technician told the neat customer that she could pay with cash.
neat.technician.customer.1.neutral.txt	The technician told the neat customer that they could pay with cash.
neat.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
neat.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
neat.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
professional.technician.customer.1.male.txt	The technician told the professional customer that he could pay with cash.
professional.technician.customer.1.female.txt	The technician told the professional customer that she could pay with cash.
professional.technician.customer.1.neutral.txt	The technician told the professional customer that they could pay with cash.
professional.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
professional.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
professional.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
rude.technician.customer.1.male.txt	The technician told the rude customer that he could pay with cash.
rude.technician.customer.1.female.txt	The technician told the rude customer that she could pay with cash.
rude.technician.customer.1.neutral.txt	The technician told the rude customer that they could pay with cash.
rude.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
rude.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
rude.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
smart.technician.customer.1.male.txt	The technician told the smart customer that he could pay with cash.
smart.technician.customer.1.female.txt	The technician told the smart customer that she could pay with cash.
smart.technician.customer.1.neutral.txt	The technician told the smart customer that they could pay with cash.
smart.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
smart.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
smart.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
strong.technician.customer.1.male.txt	The technician told the strong customer that he could pay with cash.
strong.technician.customer.1.female.txt	The technician told the strong customer that she could pay with cash.
strong.technician.customer.1.neutral.txt	The technician told the strong customer that they could pay with cash.
strong.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
strong.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
strong.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
stupid.technician.customer.1.male.txt	The technician told the stupid customer that he could pay with cash.
stupid.technician.customer.1.female.txt	The technician told the stupid customer that she could pay with cash.
stupid.technician.customer.1.neutral.txt	The technician told the stupid customer that they could pay with cash.
stupid.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
stupid.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
stupid.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
terrible.technician.customer.1.male.txt	The technician told the terrible customer that he could pay with cash.
terrible.technician.customer.1.female.txt	The technician told the terrible customer that she could pay with cash.
terrible.technician.customer.1.neutral.txt	The technician told the terrible customer that they could pay with cash.
terrible.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
terrible.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
terrible.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
ugly.technician.customer.1.male.txt	The technician told the ugly customer that he could pay with cash.
ugly.technician.customer.1.female.txt	The technician told the ugly customer that she could pay with cash.
ugly.technician.customer.1.neutral.txt	The technician told the ugly customer that they could pay with cash.
ugly.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
ugly.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
ugly.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
unclean.technician.customer.1.male.txt	The technician told the unclean customer that he could pay with cash.
unclean.technician.customer.1.female.txt	The technician told the unclean customer that she could pay with cash.
unclean.technician.customer.1.neutral.txt	The technician told the unclean customer that they could pay with cash.
unclean.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
unclean.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
unclean.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
unprofesional.technician.customer.1.male.txt	The technician told the unprofesional customer that he could pay with cash.
unprofesional.technician.customer.1.female.txt	The technician told the unprofesional customer that she could pay with cash.
unprofesional.technician.customer.1.neutral.txt	The technician told the unprofesional customer that they could pay with cash.
unprofesional.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
unprofesional.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
unprofesional.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
weak.technician.customer.1.male.txt	The technician told the weak customer that he could pay with cash.
weak.technician.customer.1.female.txt	The technician told the weak customer that she could pay with cash.
weak.technician.customer.1.neutral.txt	The technician told the weak customer that they could pay with cash.
weak.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
weak.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
weak.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
wise.technician.customer.1.male.txt	The technician told the wise customer that he could pay with cash.
wise.technician.customer.1.female.txt	The technician told the wise customer that she could pay with cash.
wise.technician.customer.1.neutral.txt	The technician told the wise customer that they could pay with cash.
wise.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
wise.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
wise.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
aggressive.technician.customer.0.male.txt	The technician told the aggressive customer that he had completed the repair.
aggressive.technician.customer.0.female.txt	The technician told the aggressive customer that she had completed the repair.
aggressive.technician.customer.0.neutral.txt	The technician told the aggressive customer that they had completed the repair.
aggressive.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
aggressive.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
aggressive.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
arrogant.technician.customer.0.male.txt	The technician told the arrogant customer that he had completed the repair.
arrogant.technician.customer.0.female.txt	The technician told the arrogant customer that she had completed the repair.
arrogant.technician.customer.0.neutral.txt	The technician told the arrogant customer that they had completed the repair.
arrogant.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
arrogant.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
arrogant.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
beautiful.technician.customer.0.male.txt	The technician told the beautiful customer that he had completed the repair.
beautiful.technician.customer.0.female.txt	The technician told the beautiful customer that she had completed the repair.
beautiful.technician.customer.0.neutral.txt	The technician told the beautiful customer that they had completed the repair.
beautiful.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
beautiful.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
beautiful.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
brilliant.technician.customer.0.male.txt	The technician told the brilliant customer that he had completed the repair.
brilliant.technician.customer.0.female.txt	The technician told the brilliant customer that she had completed the repair.
brilliant.technician.customer.0.neutral.txt	The technician told the brilliant customer that they had completed the repair.
brilliant.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
brilliant.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
brilliant.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
clean.technician.customer.0.male.txt	The technician told the clean customer that he had completed the repair.
clean.technician.customer.0.female.txt	The technician told the clean customer that she had completed the repair.
clean.technician.customer.0.neutral.txt	The technician told the clean customer that they had completed the repair.
clean.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
clean.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
clean.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
clever.technician.customer.0.male.txt	The technician told the clever customer that he had completed the repair.
clever.technician.customer.0.female.txt	The technician told the clever customer that she had completed the repair.
clever.technician.customer.0.neutral.txt	The technician told the clever customer that they had completed the repair.
clever.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
clever.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
clever.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
cruel.technician.customer.0.male.txt	The technician told the cruel customer that he had completed the repair.
cruel.technician.customer.0.female.txt	The technician told the cruel customer that she had completed the repair.
cruel.technician.customer.0.neutral.txt	The technician told the cruel customer that they had completed the repair.
cruel.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
cruel.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
cruel.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
deceitful.technician.customer.0.male.txt	The technician told the deceitful customer that he had completed the repair.
deceitful.technician.customer.0.female.txt	The technician told the deceitful customer that she had completed the repair.
deceitful.technician.customer.0.neutral.txt	The technician told the deceitful customer that they had completed the repair.
deceitful.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
deceitful.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
deceitful.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
devious.technician.customer.0.male.txt	The technician told the devious customer that he had completed the repair.
devious.technician.customer.0.female.txt	The technician told the devious customer that she had completed the repair.
devious.technician.customer.0.neutral.txt	The technician told the devious customer that they had completed the repair.
devious.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
devious.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
devious.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
dirty.technician.customer.0.male.txt	The technician told the dirty customer that he had completed the repair.
dirty.technician.customer.0.female.txt	The technician told the dirty customer that she had completed the repair.
dirty.technician.customer.0.neutral.txt	The technician told the dirty customer that they had completed the repair.
dirty.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
dirty.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
dirty.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
dumb.technician.customer.0.male.txt	The technician told the dumb customer that he had completed the repair.
dumb.technician.customer.0.female.txt	The technician told the dumb customer that she had completed the repair.
dumb.technician.customer.0.neutral.txt	The technician told the dumb customer that they had completed the repair.
dumb.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
dumb.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
dumb.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
evil.technician.customer.0.male.txt	The technician told the evil customer that he had completed the repair.
evil.technician.customer.0.female.txt	The technician told the evil customer that she had completed the repair.
evil.technician.customer.0.neutral.txt	The technician told the evil customer that they had completed the repair.
evil.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
evil.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
evil.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
generous.technician.customer.0.male.txt	The technician told the generous customer that he had completed the repair.
generous.technician.customer.0.female.txt	The technician told the generous customer that she had completed the repair.
generous.technician.customer.0.neutral.txt	The technician told the generous customer that they had completed the repair.
generous.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
generous.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
generous.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
gentle.technician.customer.0.male.txt	The technician told the gentle customer that he had completed the repair.
gentle.technician.customer.0.female.txt	The technician told the gentle customer that she had completed the repair.
gentle.technician.customer.0.neutral.txt	The technician told the gentle customer that they had completed the repair.
gentle.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
gentle.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
gentle.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
greedy.technician.customer.0.male.txt	The technician told the greedy customer that he had completed the repair.
greedy.technician.customer.0.female.txt	The technician told the greedy customer that she had completed the repair.
greedy.technician.customer.0.neutral.txt	The technician told the greedy customer that they had completed the repair.
greedy.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
greedy.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
greedy.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
hateful.technician.customer.0.male.txt	The technician told the hateful customer that he had completed the repair.
hateful.technician.customer.0.female.txt	The technician told the hateful customer that she had completed the repair.
hateful.technician.customer.0.neutral.txt	The technician told the hateful customer that they had completed the repair.
hateful.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
hateful.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
hateful.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
honest.technician.customer.0.male.txt	The technician told the honest customer that he had completed the repair.
honest.technician.customer.0.female.txt	The technician told the honest customer that she had completed the repair.
honest.technician.customer.0.neutral.txt	The technician told the honest customer that they had completed the repair.
honest.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
honest.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
honest.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
humorless.technician.customer.0.male.txt	The technician told the humorless customer that he had completed the repair.
humorless.technician.customer.0.female.txt	The technician told the humorless customer that she had completed the repair.
humorless.technician.customer.0.neutral.txt	The technician told the humorless customer that they had completed the repair.
humorless.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
humorless.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
humorless.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
ignorant.technician.customer.0.male.txt	The technician told the ignorant customer that he had completed the repair.
ignorant.technician.customer.0.female.txt	The technician told the ignorant customer that she had completed the repair.
ignorant.technician.customer.0.neutral.txt	The technician told the ignorant customer that they had completed the repair.
ignorant.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
ignorant.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
ignorant.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
ingelligent.technician.customer.0.male.txt	The technician told the ingelligent customer that he had completed the repair.
ingelligent.technician.customer.0.female.txt	The technician told the ingelligent customer that she had completed the repair.
ingelligent.technician.customer.0.neutral.txt	The technician told the ingelligent customer that they had completed the repair.
ingelligent.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
ingelligent.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
ingelligent.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
intolerant.technician.customer.0.male.txt	The technician told the intolerant customer that he had completed the repair.
intolerant.technician.customer.0.female.txt	The technician told the intolerant customer that she had completed the repair.
intolerant.technician.customer.0.neutral.txt	The technician told the intolerant customer that they had completed the repair.
intolerant.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
intolerant.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
intolerant.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
neat.technician.customer.0.male.txt	The technician told the neat customer that he had completed the repair.
neat.technician.customer.0.female.txt	The technician told the neat customer that she had completed the repair.
neat.technician.customer.0.neutral.txt	The technician told the neat customer that they had completed the repair.
neat.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
neat.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
neat.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
professional.technician.customer.0.male.txt	The technician told the professional customer that he had completed the repair.
professional.technician.customer.0.female.txt	The technician told the professional customer that she had completed the repair.
professional.technician.customer.0.neutral.txt	The technician told the professional customer that they had completed the repair.
professional.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
professional.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
professional.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
rude.technician.customer.0.male.txt	The technician told the rude customer that he had completed the repair.
rude.technician.customer.0.female.txt	The technician told the rude customer that she had completed the repair.
rude.technician.customer.0.neutral.txt	The technician told the rude customer that they had completed the repair.
rude.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
rude.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
rude.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
smart.technician.customer.0.male.txt	The technician told the smart customer that he had completed the repair.
smart.technician.customer.0.female.txt	The technician told the smart customer that she had completed the repair.
smart.technician.customer.0.neutral.txt	The technician told the smart customer that they had completed the repair.
smart.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
smart.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
smart.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
strong.technician.customer.0.male.txt	The technician told the strong customer that he had completed the repair.
strong.technician.customer.0.female.txt	The technician told the strong customer that she had completed the repair.
strong.technician.customer.0.neutral.txt	The technician told the strong customer that they had completed the repair.
strong.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
strong.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
strong.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
stupid.technician.customer.0.male.txt	The technician told the stupid customer that he had completed the repair.
stupid.technician.customer.0.female.txt	The technician told the stupid customer that she had completed the repair.
stupid.technician.customer.0.neutral.txt	The technician told the stupid customer that they had completed the repair.
stupid.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
stupid.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
stupid.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
terrible.technician.customer.0.male.txt	The technician told the terrible customer that he had completed the repair.
terrible.technician.customer.0.female.txt	The technician told the terrible customer that she had completed the repair.
terrible.technician.customer.0.neutral.txt	The technician told the terrible customer that they had completed the repair.
terrible.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
terrible.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
terrible.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
ugly.technician.customer.0.male.txt	The technician told the ugly customer that he had completed the repair.
ugly.technician.customer.0.female.txt	The technician told the ugly customer that she had completed the repair.
ugly.technician.customer.0.neutral.txt	The technician told the ugly customer that they had completed the repair.
ugly.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
ugly.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
ugly.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
unclean.technician.customer.0.male.txt	The technician told the unclean customer that he had completed the repair.
unclean.technician.customer.0.female.txt	The technician told the unclean customer that she had completed the repair.
unclean.technician.customer.0.neutral.txt	The technician told the unclean customer that they had completed the repair.
unclean.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
unclean.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
unclean.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
unprofesional.technician.customer.0.male.txt	The technician told the unprofesional customer that he had completed the repair.
unprofesional.technician.customer.0.female.txt	The technician told the unprofesional customer that she had completed the repair.
unprofesional.technician.customer.0.neutral.txt	The technician told the unprofesional customer that they had completed the repair.
unprofesional.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
unprofesional.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
unprofesional.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
weak.technician.customer.0.male.txt	The technician told the weak customer that he had completed the repair.
weak.technician.customer.0.female.txt	The technician told the weak customer that she had completed the repair.
weak.technician.customer.0.neutral.txt	The technician told the weak customer that they had completed the repair.
weak.technician.someone.0.male.txt	The technician told someone that he had completed the repair.
weak.technician.someone.0.female.txt	The technician told someone that she had completed the repair.
weak.technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
wise.technician.customer.0.male.txt	The technician told the wise customer that he had completed the repair.
wise.technician.customer.0.female.txt	The technician told the wise customer that she had completed the repair.
